point,mean_ltime,mean_x_proj,mean_y_proj,mean_latitude,mean_longitude,n,date
2019-07-07T11:45:00Z,2019-07-07T11:45:01Z,371874.17057234567,9929431.67123742,-0.6383237661784595,-76.15142745198939,12,2019-07-07
2019-07-07T12:00:00Z,2019-07-07T12:00:01Z,371871.28564404184,9929446.267515233,-0.6381917302416751,-76.15145334507416,12,2019-07-07
2019-07-07T12:15:00Z,2019-07-07T12:15:02Z,371870.2677862739,9929437.18002189,-0.6382739287666578,-76.15146250929075,12,2019-07-07
2019-07-07T12:30:00Z,2019-07-07T12:30:01Z,371871.9196580536,9929440.700084362,-0.638242091516643,-76.15144765935744,12,2019-07-07
2019-07-07T12:45:00Z,2019-07-07T12:45:01Z,371869.7509138586,9929440.337435659,-0.6382453674499624,-76.15146714728236,12,2019-07-07
2019-07-07T13:00:00Z,2019-07-07T13:00:01Z,371866.21620020433,9929440.66637584,-0.6382423848749884,-76.15149890769918,12,2019-07-07
2019-07-07T13:15:00Z,2019-07-07T13:15:01Z,371862.2005550668,9929443.321848053,-0.6382183567666025,-76.15153498483232,12,2019-07-07
2019-07-07T13:30:00Z,2019-07-07T13:30:01Z,371867.1323013255,9929449.3970894,-0.6381634133833165,-76.1514906585325,12,2019-07-07
2019-07-07T13:45:00Z,2019-07-07T13:45:02Z,371869.38119340694,9929449.40377183,-0.6381633574916337,-76.15147045115741,12,2019-07-07
2019-07-07T14:00:00Z,2019-07-07T14:00:01Z,371844.97102487826,9929451.141936898,-0.638147585549993,-76.1516897845907,12,2019-07-07
2019-07-07T14:15:00Z,2019-07-07T14:15:01Z,371820.483863052,9929449.539541373,-0.6381620303584046,-76.15190981654904,12,2019-07-07
2019-07-07T14:30:00Z,2019-07-07T14:30:01Z,371765.6245708548,9929434.130321948,-0.638301302683711,-76.15240278420737,12,2019-07-07
2019-07-07T14:45:00Z,2019-07-07T14:45:01Z,371738.7471431466,9929411.227745915,-0.638508412516874,-76.1526443366905,12,2019-07-07
2019-07-07T15:00:00Z,2019-07-07T15:00:01Z,371735.7864521488,9929413.52901698,-0.6384875904583822,-76.15267093525722,12,2019-07-07
2019-07-07T15:15:00Z,2019-07-07T15:15:01Z,371737.07013442006,9929415.80498066,-0.6384670059249626,-76.15265939618229,12,2019-07-07
2019-07-07T15:30:00Z,2019-07-07T15:30:01Z,371740.7841102135,9929413.395000648,-0.6384888128333461,-76.15262602921563,12,2019-07-07
2019-07-07T15:45:00Z,2019-07-07T15:45:01Z,371736.27702440345,9929413.26117025,-0.6384900142500275,-76.15266652777412,12,2019-07-07
2019-07-07T16:00:00Z,2019-07-07T16:00:01Z,371743.67599245574,9929412.890629532,-0.638493380966658,-76.1526000453074,12,2019-07-07
2019-07-07T16:15:00Z,2019-07-07T16:15:01Z,371735.57834595826,9929415.985341808,-0.6384653714501254,-76.15267280024074,12,2019-07-07
2019-07-07T16:30:00Z,2019-07-07T16:30:01Z,371741.86259382515,9929412.100258488,-0.6385005265582625,-76.15261634114071,12,2019-07-07
2019-07-07T16:45:00Z,2019-07-07T16:45:01Z,371740.43529350485,9929415.892994381,-0.638466216624989,-76.1526291584657,12,2019-07-07
2019-07-07T17:00:00Z,2019-07-07T17:00:02Z,371702.587851816,9929396.245869339,-0.6386438571106077,-76.15296927513255,12,2019-07-07
2019-07-07T17:15:00Z,2019-07-07T17:15:01Z,371689.2348934671,9929387.1640974,-0.6387259788001995,-76.15308927604903,12,2019-07-07
2019-07-07T17:30:00Z,2019-07-07T17:30:01Z,371633.3617255779,9929344.909792738,-0.6391080748417619,-76.15359140793248,12,2019-07-07
2019-07-07T17:45:00Z,2019-07-07T17:45:01Z,371644.9240677646,9929327.917771325,-0.639261798925076,-76.15348754915743,12,2019-07-07
2019-07-07T18:00:00Z,2019-07-07T18:00:01Z,371643.70890489494,9929325.139885662,-0.6392869237000487,-76.15349847357396,12,2019-07-07
2019-07-07T18:15:00Z,2019-07-07T18:15:01Z,371652.04078836733,9929324.386544943,-0.6392937549418368,-76.15342360920728,12,2019-07-07
2019-07-07T18:30:00Z,2019-07-07T18:30:01Z,371648.1060671566,9929326.68296164,-0.6392729748084467,-76.15345895989073,12,2019-07-07
2019-07-07T18:45:00Z,2019-07-07T18:45:01Z,371644.85882567,9929324.2011468,-0.6392954173584853,-76.15348814289067,12,2019-07-07
2019-07-07T19:00:00Z,2019-07-07T19:00:01Z,371642.07998546516,9929319.801286312,-0.6393352104583786,-76.15351312095734,12,2019-07-07
